,tmb_text,negative,neutral,positive
79,IF U.S THE ON LOCKDOWN,0.0,1.0,0.0
80,,0.0,1.0,0.0
81,The Portal Paradox a OR B.,0.259,0.741,0.0
82,2 027 2,0.0,1.0,0.0
83,Quantum Computers Destroy Internet Security,0.393,0.337,0.27
84,TOP 10 REASONS why know we ROUNL earth is the,0.0,0.78,0.22
85,d 1-/1+2+9+X 2+1+8+ =2-2).(2+2+4+8+ d 2al t,0.0,1.0,0.0
86,Another Physics Misconception,0.0,1.0,0.0
87,The r Universe,0.0,1.0,0.0
88,Special Relativity Ch.1 E=mc2,0.0,0.526,0.474
89,"PHYSICS,OF THE CRASHES CAR",0.0,1.0,0.0
90,no,0.0,1.0,0.0
91,,0.0,1.0,0.0
92,,0.0,1.0,0.0
93,Length Contraction & Dilation Time,0.0,1.0,0.0
94,,0.0,1.0,0.0
95,Oops. day 5 10 15,0.0,1.0,0.0
96,How many stars there the in sky are explained 9.9999 s seconds,0.0,1.0,0.0
97,,0.0,1.0,0.0
98,,0.0,1.0,0.0
99,WHALES HOW DID GET SO BIG?,0.0,1.0,0.0
100,DEVICE REMOVES BLOOD CLOTS tech INSIDER,0.0,1.0,0.0
101,t WHY WE HAVE a GROOVE BELOW OUR NOSE,0.0,1.0,0.0
102,NEW CHINESE GLADIATOR ROBOT,0.0,1.0,0.0
103,TECH. INSIDER,0.0,1.0,0.0
104,HOW to USE BUMBLE MATCHED you ebumble ECH TECH INSIDER,0.0,1.0,0.0
105,TRANSFER PHOTOS EROM IPHONE to 20 TECH INSIDER,0.0,1.0,0.0
106,YOUR FIND Caok nside SKYPE ID share profile croone S skypc name drocbl cled zzabes d emal a.techinsidenBgmaiLcon Birthday blthday add TECH other INSIDER other find rans pcople can you,0.0,0.925,0.075
107,DOWNLOAD SHOWS AND MOVIES on NETFLIX TECH INSIDER,0.0,1.0,0.0
108,EXPLAINED NYO GRID,0.0,1.0,0.0
109,T GOOGLE TIMELINE,0.0,1.0,0.0
110,FIND DIAMONDS in MINECRAFT TECH INSIDER,0.0,1.0,0.0
111,SMART CONSTRUCTION HELMET water,0.0,0.466,0.534
112,i Message Fvi w LLESSER-KNOWN GOOGLE PRODUCTS,0.0,1.0,0.0
113,12:03 85F TECL INSIDER,0.0,1.0,0.0
114,KOREAN BILLY ON HIS VIRAL FAME TECH INSIDER,0.0,0.707,0.293
115,NASA'S AUTONOMOUS UNDERWATER DRONE,0.0,1.0,0.0
116,,0.0,1.0,0.0
117,AMERICAN THE SOUTHEAST IS BREAKING OFF,0.0,1.0,0.0
118,AMERICAN SOUTHWEST FACE MEGADROUGHI MAI,0.0,1.0,0.0
119,BUSINESS uk INSIDER DURABLE SPEAKERS,0.0,1.0,0.0
120,DOPAMINE MINDSET 8 DRIVE HUBERM lab,0.0,1.0,0.0
121,BUILD STRONG HABITS HUBERMAR lab,0.0,0.498,0.502
122,CANNABIS: HEALTH & HARMS HUBERMAT lab,0.496,0.504,0.0
123,SMELLS HOW IMPACT BIOLOGY OUR SOBEL DR. NOAM huberman lab,0.0,1.0,0.0
124,FEMALE HORMONE SIMZAIO SARA GOTTFRIED DR huberman lab,0.0,1.0,0.0
125,ERASING FEAR & TRAUMA HUBERMAN lab,0.713,0.287,0.0
126,MEDIIATION THE MIND FREE will 8x SAM HARRIS DR. huberman lab,0.0,0.713,0.287
127,NICOTINE: USES & QUITTING HUBERMAI lab,0.0,1.0,0.0
128,WHY WE DREAM HUBERMAN lab,0.0,0.594,0.406
129,MASTER YOUR BREATHING with JACK FELDMAN DR HIRERMAI lab,0.0,1.0,0.0
130,OPTIMIZE WORK & HEALTH HUBERMAN LAB,0.0,0.556,0.444
131,OPTIMIZE YOUR HORMONES GILLET DR. KYLE HUBERMAN LAR,0.0,0.686,0.314
132,SOCIAL CONNECTING & BONDING HUBERMAN lab,0.0,1.0,0.0
133,/ISUATLTZE &ACHIEVE GOALS EMIL BALCETIS DR. huberman lab,0.0,1.0,0.0
134,PSYCHEDELICS FOR MENTAL HEALTE CARHART-HARRIS DR ROBIN huberman lab,0.0,1.0,0.0
135,STRENGTE HORIMONES & PERFORIMANCE with DR. DUNCAN FRENCH HUBERMAN LAB per rny ute inst,0.0,1.0,0.0
136,COMPULSIVE EATING 8 BEHAVIORS HALPERN DR. CASEY huberman lab,0.0,1.0,0.0
137,MDMA: BENEFITS RISKS HUBERMAN lab,0.309,0.327,0.364
138,KETAMINE: BENEFITS 8 RISKS HUBERMAN lab,0.309,0.327,0.364
139,AMA EPISODE C HUBERMAI LAB,0.0,1.0,0.0
140,KALL Machines Virtual,0.0,1.0,0.0
141,REVERSE SHELL  ,0.0,1.0,0.0
142,FREE CCNA Complete Course,0.0,0.427,0.573
143,TOP CERTS 2022 OF ENTRY-LEVEL cometa aiwc evis etmed PenTes actitioner cloud CiSco comet CCNA POTIA at Security,0.0,0.764,0.236
144,口,0.0,1.0,0.0
145,ULTIMATE 自目自自目 KALI HACKING GWORKSPACE,0.0,1.0,0.0
146,CompTIA CISCO CERTIFIED A + CCENT NETWORK CompTIA 0 Network CERTIFIE CCNA CERTIFIED MCSA ROUTINGS,0.0,1.0,0.0
147,YOU'RE GET JOB A no experience,0.0,1.0,0.0
148,D,0.0,1.0,0.0
149,WORLD'S MOST SECURE BROWSER e yourseif) (build in,0.0,0.591,0.409
150,Study Tips CISCO CISCO CERTIFIED CERTIFIED CCNA CCNP ROUTING& ROUTING& SWITCHING SW,0.0,1.0,0.0
151,56 Destroy l d cc Python ta Da python RIGH NOW! TNT ep 1,0.275,0.725,0.0
152,,0.0,1.0,0.0
153,Aws S Network Developer CBTnuets,0.0,1.0,0.0
154,10 Christmas Days of How does take? long it + become a Network Engineer,0.0,1.0,0.0
155,feel stupid,0.773,0.227,0.0
156,YOU DO NOT NEED diploma COLLEGE (university d,0.0,1.0,0.0
157,Monitoring CISCO ARDUINO,0.0,1.0,0.0
158,03/13/16 03 59pm Rick Grimes c Hunt Group Redial New cal,0.182,0.818,0.0
159,CISCO CERTIFIED CCNA ROUTING& GIVEAWAY ENTER WIN!,0.0,0.595,0.405
160,IDO NOT wannause,0.0,1.0,0.0
161,UM,0.0,1.0,0.0
162,,0.0,1.0,0.0
163,ThinkPad Z13,0.0,1.0,0.0
164,SAMSUNG TAB S8 ULTRA,0.0,1.0,0.0
165,,0.0,1.0,0.0
166,,0.0,1.0,0.0
167,,0.0,1.0,0.0
168,SONY X95K,0.0,1.0,0.0
169,Gaming Speaker UltraGear,0.0,1.0,0.0
170,GLASS!,0.0,1.0,0.0
171,android 20- DO,0.0,1.0,0.0
172,Xperia5IV,0.0,1.0,0.0
173,10 PRO,0.0,1.0,0.0
174,ROL,0.0,1.0,0.0
175,,0.0,1.0,0.0
176,PRUSAMK4,0.0,1.0,0.0
177,RGB SHOES,0.0,1.0,0.0
178,L OF THE,0.0,1.0,0.0
179,,0.0,1.0,0.0
180,ASSASSIN'S TEAPOT,0.0,1.0,0.0
181,POP! POP!,0.0,1.0,0.0
182,STAULEY THIS SHOULDNZ WORK,0.0,1.0,0.0
183,PARAMETRIC RESONANCE ISWEIRD,0.0,1.0,0.0
184,,0.0,1.0,0.0
185,,0.0,1.0,0.0
186,SAIL FASTER THAN WIND,0.0,1.0,0.0
187,THOUGHT THEY THIS DIDN'T EXIST,0.0,1.0,0.0
188,OPEN THIS WINDOW TOSAVE LIIVES,0.0,1.0,0.0
189,,0.0,1.0,0.0
190,,0.0,1.0,0.0
191,IRUSES ces RUSES r self ASSEMBL,0.0,1.0,0.0
192,ICE WATER MAKES ITBOIL,0.0,1.0,0.0
193,5NOTELASER TRICK 5 AJ57012962,0.375,0.625,0.0
194,BEEP E19P 10:084 2048Hz,0.0,1.0,0.0
195,TOWER OFOLD HEADS,0.0,1.0,0.0
196,EAT ME,0.0,1.0,0.0
197,,0.0,1.0,0.0
198,AddNPeSFT SHIFT_beep AddNewP Poite How3Dcinem Add New pn ,0.0,1.0,0.0
199,,0.0,1.0,0.0
200,18,0.0,1.0,0.0
201,ARDI 8 $20,0.0,1.0,0.0
202,11PRO MAX,0.0,1.0,0.0
203,UNPEKING,0.0,1.0,0.0
204,? 2 BlackBerry,0.0,1.0,0.0
205,,0.0,1.0,0.0
206,UPERSAF 15:55,0.0,1.0,0.0
207,SAMSUNG SAMSUNG Galaxy S7 Galaxy S8+ /edge VS CAMERA TEST,0.0,1.0,0.0
208,LG GX OLED,0.0,1.0,0.0
209,,0.0,1.0,0.0
210,,0.0,1.0,0.0
211,SONY XPERIAZS SEPCISATT Gold Unboxing,0.0,1.0,0.0
212,worthover ja WORTHOVER 108 SMARTPH SMARTPHONES,0.0,1.0,0.0
213,opo SUPERSAFTV FIPLE FIPL,0.0,1.0,0.0
214,,0.0,1.0,0.0
215,G3 LG iPhone 6Plus 60,0.0,1.0,0.0
216,LG G flex2 UNBOXING,0.0,1.0,0.0
217,品 a1 i ? ?,0.0,1.0,0.0
218,ONE PLUS 3 r finst RERE SUPERSAFTV,0.0,1.0,0.0
219,"supersa 20, 000 Subscribers $50 mini SLT GIET VOUCHER GIVEAWAY!",0.0,1.0,0.0
220,THE DEMON CORE,0.0,1.0,0.0
221,AMERICA'S NUCLEAR FIRST MELTDOWN,0.0,1.0,0.0
222,SPACE DEAD IS,0.683,0.317,0.0
223,,0.0,1.0,0.0
224,UNSTOPPABLE THE ral SUPER A.I,0.249,0.295,0.456
225,AND JOHN WAYNE CONQUEROR THE,0.0,1.0,0.0
226,BEST-KAR ARMOR,0.0,1.0,0.0
227,x1 000 ooo0 000.000 ooo0 000,0.0,1.0,0.0
228,QUANTUM LEVITATION,0.0,1.0,0.0
229,S0NIC BLACE HOLE5,0.0,1.0,0.0
230,PLOT HOLE SOLVED?,0.0,0.488,0.512
231,,0.0,1.0,0.0
232,NONSENSE ANTI-5G' LIVE,0.574,0.426,0.0
233,PUT THIS YOUR BRAIN in,0.0,1.0,0.0
234,CAN WE STOP IT?,0.423,0.577,0.0
235,You want somebody else t should doina work hbe rself VO you truly tru do the researcr n your own. oing lo spoor VOU truth NOPE LIVE,0.0,0.772,0.228
236,CUBE POO SECRETS,0.0,1.0,0.0
237,ElonMusk 112Fo LIVE,0.0,1.0,0.0
238,H CANYOU READ PEr rer9a？er? THIS? LIVE,0.0,1.0,0.0
239,THIS IS WHY you MASK WEAR A,0.0,1.0,0.0
240,Spark,0.0,0.0,1.0
241,Spark,0.0,0.0,1.0
242,Spark,0.0,0.0,1.0
243,Spark,0.0,0.0,1.0
244,seasran Spark,0.0,0.345,0.655
245,Spark,0.0,0.0,1.0
246,Spark,0.0,0.0,1.0
247,Spark,0.0,0.0,1.0
248,Spark,0.0,0.0,1.0
249,Spark,0.0,0.0,1.0
250,Spark,0.0,0.0,1.0
251,Spark,0.0,0.0,1.0
252,a Tirstcontact be ma possible,0.0,1.0,0.0
253,Spark,0.0,0.0,1.0
254,Spark,0.0,0.0,1.0
255,Spark,0.0,0.0,1.0
256,Spark,0.0,0.0,1.0
257,Spark,0.0,0.0,1.0
258,Spark,0.0,0.0,1.0
259,Spark,0.0,0.0,1.0
260,PART 1 STARBASE withtour guide MUSK ELON BUTLD SITE TOUR everyd SIRONAU 北,0.0,1.0,0.0
261,ASRBXAOY,0.0,1.0,0.0
262,WRONG WENT EXACTLY WHATL VERYIDA vle y asronnut,0.39,0.61,0.0
263,ride  ere LEGIT NEXI GEN SPACE a SUIT! EVERYDAY astronaut,0.0,1.0,0.0
264,NASA+ SPACEX DM-2 SPLASHDOWN DRAGON CREW e DOUG HOMECOMING HOSTED LIVE veraday SRONAU,0.0,1.0,0.0
265,VANDENBERG SER ca SLC-2 FIREFLY ALPHA-FLTA002 the BLACK HOSTED live SRONN,0.0,1.0,0.0
266,VANDENBERG SER ca SLC-2 FIREFLY ALPHA-FLTA002 the BLACK HOSTED live SRONN,0.0,1.0,0.0
267,"SLC- -40 CCSFS, F SPACEX TRANSPDRTER i FALCON 5 block s HOSTED lie ΛSTRONAU everyday",0.225,0.775,0.0
268,WENCHANG  IC-1 TIANWEN-1 LONG MARCH 5 chinas st mars mission HOSTED LIVE,0.0,1.0,0.0
269,H ASTRC AWARDS BEST SPACE MOMENTS OF 202 ever rday ASTRONAU,0.0,0.48,0.52
270,MERLINS 27 posed s SEQUENC EVENTS using FALCON healy of,0.0,1.0,0.0
271,,0.0,1.0,0.0
272,SPACEX AM0S-17 il live HUSTED,0.0,1.0,0.0
273,VERYD,0.0,1.0,0.0
274,DELTA/VM GPS svoz ula ll edlie ntes,0.0,1.0,0.0
275,ever yday  ril ΛSIRONAUT otdanaiit pacl loiiae beach astronaut HUUSE,0.0,1.0,0.0
276,,0.0,1.0,0.0
277,PAZ SPACEX LAUNCH HOSTED LME,0.0,1.0,0.0
278,TO EVE AND BACK STOCK NO QUICKSAVES!!! EVRRYRAY,0.305,0.695,0.0
279,"""STAR PAINTING BEHIND THE SCENES PHOTOSHOP EVERYDA ASTRONAUT",0.0,1.0,0.0
280,,0.0,1.0,0.0
281,,0.0,1.0,0.0
282,,0.0,1.0,0.0
283,,0.0,1.0,0.0
284,,0.0,1.0,0.0
285,,0.0,1.0,0.0
286,,0.0,1.0,0.0
287,Gillette,0.0,1.0,0.0
288,,0.0,1.0,0.0
289,,0.0,1.0,0.0
290,,0.0,1.0,0.0
291,,0.0,1.0,0.0
292,,0.0,1.0,0.0
293,G,0.0,1.0,0.0
294,CO,0.0,1.0,0.0
295,(CCO),0.0,1.0,0.0
296,,0.0,1.0,0.0
297,,0.0,1.0,0.0
298,,0.0,1.0,0.0
299,,0.0,1.0,0.0
300,B BLOCKCHAIN,0.0,1.0,0.0
301,,0.0,1.0,0.0
302,PS,0.0,1.0,0.0
303,,0.0,1.0,0.0
304,add games screen enc 15 19 class ManCgames Sprite): 20 2 a which left ond man moves image load image def initas self lalize Init itialize Mar super,0.0,0.865,0.135
305,WA,0.0,1.0,0.0
306,GraphQL in  Python,0.0,1.0,0.0
307,,0.0,1.0,0.0
308,,0.0,1.0,0.0
309,The Universal Serial Web,0.0,1.0,0.0
310,,0.0,1.0,0.0
311,Crash!,1.0,0.0,0.0
312,,0.0,1.0,0.0
313,ds S,0.0,1.0,0.0
314,ASYNCHRONOUS EVENT HANDLING,0.0,1.0,0.0
315,,0.0,1.0,0.0
316,Search,0.0,1.0,0.0
317,<py> d wo p sp y  t Python Run Your in HTML,0.0,1.0,0.0
318,L O,0.0,1.0,0.0
319,,0.0,1.0,0.0
320,DFIXX MICC GLAND,0.0,1.0,0.0
321,sule o o sio do o fore outer replacing o see ca e se wiring ret e,0.0,1.0,0.0
322,,0.0,1.0,0.0
323,,0.0,1.0,0.0
324,PEXX WAGO 221 INLINE,0.0,1.0,0.0
325,,0.0,1.0,0.0
326,SUNSYNK UNLIMITED POWER,0.0,1.0,0.0
327,,0.0,1.0,0.0
328,MO OFF Hz OFF 2,0.0,1.0,0.0
329,,0.0,1.0,0.0
330,ev TRAINING part 8 FIXX ART3 PART s,0.0,1.0,0.0
331,,0.0,1.0,0.0
332,Sehneider,0.0,1.0,0.0
333,FIXX ELECTRICAL NENE weekly,0.0,1.0,0.0
334,CABLETRAY 2FIXX GROUPING FACTORS,0.0,1.0,0.0
335,FIXX Q&A ECA engneerns scrces,0.0,1.0,0.0
336,METAL TRUNKING trunking HINTS g TIPS ACCESSORIES,0.0,1.0,0.0
337,FIXX PERFORMANCE PERFOR MAN  ΛANCE INDUSTRIAL MANCE,0.0,1.0,0.0
338,DFIXX FIXX LIVEFEED LIVEFEED,0.0,1.0,0.0
339,FIXX AWARDS 2023 EDUCATION WINNERS,0.0,0.284,0.716
340,FIDGET,0.0,1.0,0.0
341,,0.0,1.0,0.0
342,,0.0,1.0,0.0
343,,0.0,1.0,0.0
344,ALLYOUHAVE,0.0,1.0,0.0
345,,0.0,1.0,0.0
346,,0.0,1.0,0.0
347,,0.0,1.0,0.0
348,arrive home scene Activate,0.0,1.0,0.0
349,,0.0,1.0,0.0
350,,0.0,1.0,0.0
351,,0.0,1.0,0.0
352,WITH EVERYTHING,0.0,1.0,0.0
353,,0.0,1.0,0.0
354,,0.0,1.0,0.0
355,this GADGET ANIO GET,0.0,1.0,0.0
356,,0.0,1.0,0.0
357,YouFact,0.0,1.0,0.0
358,YouFact,0.0,1.0,0.0
359,ST 108MP,0.0,1.0,0.0
360,KR,0.0,1.0,0.0
361,david Cogen David r CO theunlockicom CKR,0.0,1.0,0.0
362,HUAWEI LEICA,0.0,1.0,0.0
363,,0.0,1.0,0.0
364,IVIUST,0.0,1.0,0.0
365,lopel de contode cune aoy raiee doke lenen analarkctine t ia uu hont arn lil corten desne noguy sau ce dnald cel ded oil for diver gor d wiant o search rou cottwa automaticall updated dimer,0.0,1.0,0.0
366,5 00,0.0,1.0,0.0
367,,0.0,1.0,0.0
368,,0.0,1.0,0.0
369,,0.0,1.0,0.0
370,KR,0.0,1.0,0.0
371,CKR,0.0,1.0,0.0
372,E=MC UD,0.0,1.0,0.0
373,65% PM 4:01 Utilities Verizon dia,0.0,1.0,0.0
374,Superuser request: tmobile com pr.adapi (1 Grants full features all device access t and potentially dangerous storage Ask again 15 minutes DENY GRANT,0.212,0.613,0.175
375,wuen d W NoSlowAni Ch n Ooe per smple Loc SubtleL wnterbcsd bola G,0.0,1.0,0.0
376,tooinks,0.0,1.0,0.0
377,eul lo cock out uc squel 1t ihe ma copuler foldng phone the morid the samsung 7Fli in heres whals,0.078,0.922,0.0
378,OCKR Un LOCKR,0.0,1.0,0.0
379,,0.0,1.0,0.0
380,Amplifier Operational Wot,0.0,1.0,0.0
381,Analysis: Transient First order and Circuits R-C R-L r r,0.0,1.0,0.0
382,Differentiator Op-Amp as vout,0.0,1.0,0.0
383,Ladder Explained DAC R-2R rif 2r 2r 2r v,0.0,1.0,0.0
384,Voltage and Current Power Explained,0.0,1.0,0.0
385,Chip (SOC) System on Explained LALCOMM,0.0,1.0,0.0
386,Decibel (dB） IS dB dBm dbw and dBV What e,0.0,1.0,0.0
387,Amplitude Modulation (AM Message Signal Modulated Carrier,0.0,1.0,0.0
388,Small Signal Model MOSFET lse ves gm,0.0,1.0,0.0
389,"and SOP POS Forms fl F1=ABC F1=mo+m tma tm F1=∑（0, 79 2 44",0.0,1.0,0.0
390,Solved Problems on Coupled Magnetically Circuits,0.307,0.455,0.239
391,Ohm's Law,0.0,1.0,0.0
392,Channel Length Modulation MOSFET source s1 ves sv gate g drain di vos 5v vea vas ssv ves ban,0.175,0.825,0.0
393,Explained Active Circuit Clamper,0.0,0.526,0.474
394,Parameters ye TWO Port Network 1=Y1 y2 vit V y21 12 vit y2 s,0.0,1.0,0.0
395,Depletion Biasing MOSFET Type,0.0,1.0,0.0
396,Pass Transistor Logic AND gate,0.0,1.0,0.0
397,Binary Generator Sequence 111 o 1 output clr,0.0,1.0,0.0
398,Quiz #1 it is given Hpnt 125 c 144 823j t e baser basen baser xt what is tho value of base A)5 C)12 B）3 D)6,0.0,0.902,0.098
399,Quiz #9 a pandwidt of 10 is required for am ifthe owest trequenc khz system. in the modulatec signal is 555 KHz Wbot is carrier component in t frequency KH A 525 C 550 R 560 D 565,0.0,1.0,0.0
400,as and land no was exposed.,0.245,0.755,0.0
401,"""YEAI CHIE YEAH butlook at THB FACE too",0.0,0.705,0.295
402,Instead of ike stopping the conversation,0.242,0.758,0.0
403,NYAMINYAM,0.0,1.0,0.0
404,Patreon Exciusive Part 7 EXTINCT OR ALIVE?,0.0,0.6,0.4
405,,0.0,1.0,0.0
406,INSANE SEA FISH DEEP,0.474,0.526,0.0
407,wil TIMES THE d 102,0.0,1.0,0.0
408,口,0.0,1.0,0.0
409,GOOD OR BAD?,0.473,0.135,0.392
410,t CLIPS Extinct allive BTS or n cloudec Leopard formosan,0.0,1.0,0.0
411,the wild imes oe,0.0,1.0,0.0
412,exclusvie Patreon GIANT ARMADILLO,0.0,1.0,0.0
413,ANIMAL CLONED,0.0,1.0,0.0
414,THE WILD TIMES #26,0.0,1.0,0.0
415,t CLIPS twt on inaturalistie,0.0,1.0,0.0
416,,0.0,1.0,0.0
417,ICELAND WHALING,0.0,1.0,0.0
418,The d wild tooees Times Bonus Episode fhewildfimespodca.sf.com/pa.freon,0.0,0.632,0.368
419,the Wild Times WIIH with URREST GALANTE BATTLE ROYALE,0.294,0.706,0.0
420,dropping BPOLEOIOT,0.0,1.0,0.0
421,6:00pm 7:00pm 8:30pm,0.0,1.0,0.0
422,MYSONIS17,0.0,1.0,0.0
423,WHATTHEY,0.0,1.0,0.0
424,mostly,0.0,1.0,0.0
425,WHATISTHIS S,0.0,1.0,0.0
426,outof,0.0,1.0,0.0
427,ANDCAN,0.0,1.0,0.0
428,wits okoy not,0.0,1.0,0.0
429,when,0.0,1.0,0.0
430,IT'SLIKE,0.0,1.0,0.0
431,Notyet.,0.0,1.0,0.0
432,,0.0,1.0,0.0
433,DEMONSTRATING DEM ING,0.0,1.0,0.0
434,TOGET PEOPLELIKE KE,0.0,1.0,0.0
435,inthegym,0.0,1.0,0.0
436,having,0.0,1.0,0.0
437,cnis on nerve,0.0,1.0,0.0
438,&30minutes,0.0,1.0,0.0
439,playgames,0.0,1.0,0.0
440,Howto RETIREon ETHEREUM,0.0,1.0,0.0
441,STAKING ETHEREUM WORTHIT?,0.0,1.0,0.0
442,CRYPTO FEBRUARY what to EXPEC b,0.0,1.0,0.0
443,NYE LIVE,0.0,1.0,0.0
444,INVESTANSWERS QUICKIE b,0.0,1.0,0.0
445,NVESTANSWVER QUICKIE b TGC 干,0.0,1.0,0.0
446,NVESTANSWER QUICKIE b ato,0.0,1.0,0.0
447,TAKEAWAYS my CSSA STATE of CRYPTO sy SX 5 5 a,0.0,1.0,0.0
448,AVALANCHE HLAUTO UNCOVERED CRYPTO,0.0,1.0,0.0
449,B DCA ONSTEROIDS,0.0,1.0,0.0
450,how to CONVINCE ANYONE to BUY e BITCOIN,0.0,0.687,0.313
451,WILL B = POWER?,0.0,1.0,0.0
452,CORLOINAT CRYPTO ATTACK?,0.608,0.392,0.0
453,NEXTBTC CATALYST B I ONCHAINTA,0.0,1.0,0.0
454,FUD FADES RISES CRYPTC B CHAIN ON TA,0.259,0.741,0.0
455,"BTC,BONDS &PROXIES B 3 ONCHAIN TA",0.0,1.0,0.0
456,INVESTANSWERS WEEKL qea B,0.0,1.0,0.0
457,B LOST COINS,0.697,0.303,0.0
458,BARRON'S TURNING BULLISH?,0.0,1.0,0.0
459,SUNDAY CRYPTO THOUGHTS,0.0,1.0,0.0
460,PS1,0.0,1.0,0.0
461,76,0.0,1.0,0.0
462,dbuilt the MO eus dre MOST POWERFUI stsi aamn ERF FUL AVAILABLE SYSTE sy e,0.0,1.0,0.0
463,,0.0,1.0,0.0
464,Pads Gaming Standard ads Stang,0.0,1.0,0.0
465,,0.0,1.0,0.0
466,CABLEGUYS YS,0.0,1.0,0.0
467,,0.0,1.0,0.0
468,,0.0,1.0,0.0
469,REMOVING THECOMERS,0.0,1.0,0.0
470,,0.0,1.0,0.0
471,,0.0,1.0,0.0
472,these are MY FAVOURITE GAMING nvs m,0.0,1.0,0.0
473,WORST logitech VS iPADCASE EVER!!,0.575,0.425,0.0
474,3,0.0,1.0,0.0
475,TODAY,0.0,1.0,0.0
476,PS5 REVIEW,0.0,1.0,0.0
477,,0.0,1.0,0.0
478,$1099 $699,0.0,1.0,0.0
479,ZFLIP,0.0,1.0,0.0
480,Microsoft Windows98,0.0,1.0,0.0
481,PIRACY MALWARE &,0.0,1.0,0.0
482,MCAFEE vs MALWARE 15 erzeod,0.0,1.0,0.0
483,NHS CERN Microsoft Windows xp,0.0,0.606,0.394
484,ANTIVIRUS ON PHONE?,0.0,1.0,0.0
485,,0.0,1.0,0.0
486,PHISHING TEST,0.0,1.0,0.0
487,DE-CLUTTER WINDOWS10,0.0,1.0,0.0
