,vidid,title,tmblink,views,channelName,avgViews/Video
45,zz5lGkDdk78,Amazing Honey Coiling High Speed Video! - Smarter Every Day 53,https://i.ytimg.com/vi/zz5lGkDdk78/hqdefault.jpg,3058073,SmarterEveryDay,3093197.85945946
46,OdW7vhYYSdM,Circular Saw Kickback Killer (We used science to make tools safer) - Smarter Every Day 209,https://i.ytimg.com/vi/OdW7vhYYSdM/hqdefault.jpg,2599291,SmarterEveryDay,3093197.85945946
47,fU_pilTk624,When you call the US Coast Guard - Smarter Every Day 265,https://i.ytimg.com/vi/fU_pilTk624/hqdefault.jpg,1883244,SmarterEveryDay,3093197.85945946
48,kRlwI2iV7x8,Touching Plasma PhD Research Opportunities at UAH - Smarter Every Day 193,https://i.ytimg.com/vi/kRlwI2iV7x8/hqdefault.jpg,1494350,SmarterEveryDay,3093197.85945946
49,R7yzKJHSrRE,How to light a match inside a balloon - Smarter Every Day 36 LASER MONTH,https://i.ytimg.com/vi/R7yzKJHSrRE/hqdefault.jpg,1078116,SmarterEveryDay,3093197.85945946
50,gl3bY6vME4w,"Capsized Boat in Destin, FL - Smarter Every Day 277",https://i.ytimg.com/vi/gl3bY6vME4w/hqdefault.jpg,921424,SmarterEveryDay,3093197.85945946
51,xLWUGumz1dI,The Secret Power of Your High School Yearbook  - Smarter Every Day 284,https://i.ytimg.com/vi/xLWUGumz1dI/hqdefault.jpg,656220,SmarterEveryDay,3093197.85945946
52,-NLBtZKx2cA,Woman Struck by Meteorite | Smarter Every Day 84,https://i.ytimg.com/vi/-NLBtZKx2cA/hqdefault.jpg,534030,SmarterEveryDay,3093197.85945946
53,Q-1DoJMehQM,12 Animals in The Amazing Amazon (with Slow Mo) - Smarter Every Day 76,https://i.ytimg.com/vi/Q-1DoJMehQM/hqdefault.jpg,384422,SmarterEveryDay,3093197.85945946
54,ipQkk7RxApg,DONT SEND ME TO AUBURN!!!!! (Roll Tide! Alabama 2009 & 2011 National Champions!),https://i.ytimg.com/vi/ipQkk7RxApg/hqdefault.jpg,253057,SmarterEveryDay,3093197.85945946
55,HIr1W601U7w,"WE SPENT $78,000 OF YOUR MONEY in Peru - Smarter Every Day 126",https://i.ytimg.com/vi/HIr1W601U7w/hqdefault.jpg,166116,SmarterEveryDay,3093197.85945946
56,kNGR5OvhM1c,Space Mountain Fears - Smarter Every Day 12,https://i.ytimg.com/vi/kNGR5OvhM1c/hqdefault.jpg,100917,SmarterEveryDay,3093197.85945946
57,Hf273uCVHvE,I built a wall - Time Lapse,https://i.ytimg.com/vi/Hf273uCVHvE/hqdefault.jpg,36438,SmarterEveryDay,3093197.85945946
58,nMJaXNKtrIA,Baseball photography - with SCIENCE!,https://i.ytimg.com/vi/nMJaXNKtrIA/hqdefault.jpg,16157,SmarterEveryDay,3093197.85945946
59,a3P1qIqGtRw,Crafts in Peru,https://i.ytimg.com/vi/a3P1qIqGtRw/hqdefault.jpg,4815,SmarterEveryDay,3093197.85945946
60,AWTuvTJKtr0,I Swam in a Pool of Liquid Mecury #Shorts,https://i.ytimg.com/vi/AWTuvTJKtr0/hqdefault.jpg,29338122,What If,1233235.7967128027
61,UJwkj82BJjo,What If the Earth Stopped Spinning for 5 Seconds?,https://i.ytimg.com/vi/UJwkj82BJjo/hqdefault.jpg,5066868,What If,1233235.7967128027
62,KSQhjhoEvLs,What If Jupiter Became a Star?,https://i.ytimg.com/vi/KSQhjhoEvLs/hqdefault.jpg,2874805,What If,1233235.7967128027
63,XkHCMuHXlFU,Where Are Megalodon Sharks Hiding? #Shorts,https://i.ytimg.com/vi/XkHCMuHXlFU/hqdefault.jpg,1975008,What If,1233235.7967128027
64,o8JGsBDY1xI,What If It Takes Two Years for a COVID-19 Vaccine?,https://i.ytimg.com/vi/o8JGsBDY1xI/hqdefault.jpg,1459620,What If,1233235.7967128027
65,7yCTpDPEHtI,What If Spinosaurs Were Still Swimming Today?,https://i.ytimg.com/vi/7yCTpDPEHtI/hqdefault.jpg,1095696,What If,1233235.7967128027
66,a-zZkuGAVQY,What If We Built Cloud Cities on Venus?,https://i.ytimg.com/vi/a-zZkuGAVQY/hqdefault.jpg,816072,What If,1233235.7967128027
67,7t1aG9PGKsk,What Happens If Everyone Falls Asleep at the Same Time?,https://i.ytimg.com/vi/7t1aG9PGKsk/hqdefault.jpg,655872,What If,1233235.7967128027
68,4v7de1JBlTw,What If You Were the Last Human on Earth? (Recut),https://i.ytimg.com/vi/4v7de1JBlTw/hqdefault.jpg,520662,What If,1233235.7967128027
69,cYd0rcE7Kks,What If You Drank From Lake Natron?,https://i.ytimg.com/vi/cYd0rcE7Kks/hqdefault.jpg,443250,What If,1233235.7967128027
70,hEszgpxhkic,What If Planet Nine Exists?,https://i.ytimg.com/vi/hEszgpxhkic/hqdefault.jpg,369373,What If,1233235.7967128027
71,_JiFJxOhDig,What If You Lived In a Closed Biosphere?,https://i.ytimg.com/vi/_JiFJxOhDig/hqdefault.jpg,310393,What If,1233235.7967128027
72,v2aShVTMMNc,What If We Stopped Burning Fossil Fuels RIght Now?,https://i.ytimg.com/vi/v2aShVTMMNc/hqdefault.jpg,265946,What If,1233235.7967128027
73,OTQwTrYjJWM,What If You Drained the World's Largest Atoll?,https://i.ytimg.com/vi/OTQwTrYjJWM/hqdefault.jpg,226575,What If,1233235.7967128027
74,p7s7GOFLFi4,What If Your Tongue Were Twice as Long?,https://i.ytimg.com/vi/p7s7GOFLFi4/hqdefault.jpg,185369,What If,1233235.7967128027
75,TEyt3i8g9WU,What If Bed Bugs Were the Size of Humans?,https://i.ytimg.com/vi/TEyt3i8g9WU/hqdefault.jpg,150747,What If,1233235.7967128027
76,N9U6A6OI-b4,What If We Had To Rebuild Human Society From Scratch?,https://i.ytimg.com/vi/N9U6A6OI-b4/hqdefault.jpg,114567,What If,1233235.7967128027
77,RY2jp2o99p8,What If Jupiter Transformed Into a Rocky Planet?,https://i.ytimg.com/vi/RY2jp2o99p8/hqdefault.jpg,81694,What If,1233235.7967128027
78,W7CN7l--kzY,What If Algae Took Over the Oceans? #Shorts,https://i.ytimg.com/vi/W7CN7l--kzY/hqdefault.jpg,57426,What If,1233235.7967128027
79,QAZH0oaqgSg,What If the U.S Were Under Lockdown?,https://i.ytimg.com/vi/QAZH0oaqgSg/hqdefault.jpg,5845,What If,1233235.7967128027
80,3MqYE2UuN24,Is it Better to Walk or Run in the Rain?,https://i.ytimg.com/vi/3MqYE2UuN24/hqdefault.jpg,19609458,minutephysics,1968825.3703703703
81,B19nlhbA7-E,The Portal Paradox,https://i.ytimg.com/vi/B19nlhbA7-E/hqdefault.jpg,5574338,minutephysics,1968825.3703703703
82,1Hqm0dYKUx4,Why It's Impossible to Tune a Piano,https://i.ytimg.com/vi/1Hqm0dYKUx4/hqdefault.jpg,3945572,minutephysics,1968825.3703703703
83,lvTqbM5Dq4Q,How Quantum Computers Break Encryption | Shor's Algorithm Explained,https://i.ytimg.com/vi/lvTqbM5Dq4Q/hqdefault.jpg,3007978,minutephysics,1968825.3703703703
84,o_W280R_Jt8,TOP 10 REASONS Why We Know the Earth is Round,https://i.ytimg.com/vi/o_W280R_Jt8/hqdefault.jpg,2557752,minutephysics,1968825.3703703703
85,kIq5CZlg8Rg,Adding Past Infinity (WARNING: Math Ahead),https://i.ytimg.com/vi/kIq5CZlg8Rg/hqdefault.jpg,2314620,minutephysics,1968825.3703703703
86,4B_x1XjBhiI,Another Physics Misconception,https://i.ytimg.com/vi/4B_x1XjBhiI/hqdefault.jpg,2016518,minutephysics,1968825.3703703703
87,nrTsvn9usVQ,What Is The Universe?,https://i.ytimg.com/vi/nrTsvn9usVQ/hqdefault.jpg,1753515,minutephysics,1968825.3703703703
88,1rLWVZVWfdY,Why is Relativity Hard? | Special Relativity Chapter 1,https://i.ytimg.com/vi/1rLWVZVWfdY/hqdefault.jpg,1513000,minutephysics,1968825.3703703703
89,v9ML4GA47Rg,The Physics of Car Crashes,https://i.ytimg.com/vi/v9ML4GA47Rg/hqdefault.jpg,1388175,minutephysics,1968825.3703703703
90,KNwKPfOKipk,Parallel Universes: Many Worlds,https://i.ytimg.com/vi/KNwKPfOKipk/hqdefault.jpg,1269625,minutephysics,1968825.3703703703
91,_mZQ-5-KYHw,Picture of the Big Bang (a.k.a. Oldest Light in the Universe),https://i.ytimg.com/vi/_mZQ-5-KYHw/hqdefault.jpg,1164764,minutephysics,1968825.3703703703
92,nZMMuv0Ltyo,Why December Has The Longest Days,https://i.ytimg.com/vi/nZMMuv0Ltyo/hqdefault.jpg,1002130,minutephysics,1968825.3703703703
93,-NN_m2yKAAk,Length Contraction and Time Dilation | Special Relativity Ch. 5,https://i.ytimg.com/vi/-NN_m2yKAAk/hqdefault.jpg,840242,minutephysics,1968825.3703703703
94,VSrEIdhrXB4,How to Build a Teleporter with Aliens,https://i.ytimg.com/vi/VSrEIdhrXB4/hqdefault.jpg,720029,minutephysics,1968825.3703703703
95,IZ_8b_Ydsv0,Why LESS Sensitive Tests Might Be Better,https://i.ytimg.com/vi/IZ_8b_Ydsv0/hqdefault.jpg,626255,minutephysics,1968825.3703703703
96,NSxa5cVT3Ok,"How Many Stars There Are in the Sky, explained in ten seconds",https://i.ytimg.com/vi/NSxa5cVT3Ok/hqdefault.jpg,570378,minutephysics,1968825.3703703703
97,6ERXfZTFbFQ,Is Anything on the Internet Real?,https://i.ytimg.com/vi/6ERXfZTFbFQ/hqdefault.jpg,471135,minutephysics,1968825.3703703703
98,plUboQZgkng,Footnote †: Unstable Equilibrium,https://i.ytimg.com/vi/plUboQZgkng/hqdefault.jpg,337463,minutephysics,1968825.3703703703
99,eCD6ahMihoc,(A book with the answer),https://i.ytimg.com/vi/eCD6ahMihoc/hqdefault.jpg,148598,minutephysics,1968825.3703703703
100,gWAXOD29YDU,How This Device Safely Removes Blood Clots | Tech Insider,https://i.ytimg.com/vi/gWAXOD29YDU/hqdefault.jpg,81305039,Insider Tech,360443.4456471672
101,oPmZGBvJswg,Here's why we have that little groove below our nose,https://i.ytimg.com/vi/oPmZGBvJswg/hqdefault.jpg,1317126,Insider Tech,360443.4456471672
102,hCJ9sJHunVA,New Chinese Gladiator Robot To Challenge The US' 'Megabot',https://i.ytimg.com/vi/hCJ9sJHunVA/hqdefault.jpg,577485,Insider Tech,360443.4456471672
103,w3s1awGu1-M,Watch Elon Musk Unveil The Tesla Model Y SUV,https://i.ytimg.com/vi/w3s1awGu1-M/hqdefault.jpg,332586,Insider Tech,360443.4456471672
104,tXCxelNUexM,How To Use Bumble,https://i.ytimg.com/vi/tXCxelNUexM/hqdefault.jpg,229332,Insider Tech,360443.4456471672
105,z5iY_8JxLC4,How To Transfer Photos From iPhone To iPhone,https://i.ytimg.com/vi/z5iY_8JxLC4/hqdefault.jpg,167048,Insider Tech,360443.4456471672
106,T8THZjMcteM,What Is My Skype ID? (How To Find It),https://i.ytimg.com/vi/T8THZjMcteM/hqdefault.jpg,129059,Insider Tech,360443.4456471672
107,nYbJTtq2N_Q,How To Download Shows And Movies On Netflix,https://i.ytimg.com/vi/nYbJTtq2N_Q/hqdefault.jpg,94704,Insider Tech,360443.4456471672
108,fKH8a9nChyU,NYC grid explained,https://i.ytimg.com/vi/fKH8a9nChyU/hqdefault.jpg,74885,Insider Tech,360443.4456471672
109,6z8Jtl2Aqg0,This Google Maps setting can show you everywhere you've been,https://i.ytimg.com/vi/6z8Jtl2Aqg0/hqdefault.jpg,58793,Insider Tech,360443.4456471672
110,EwS3mSGTih8,How To Find Diamonds In Minecraft,https://i.ytimg.com/vi/EwS3mSGTih8/hqdefault.jpg,46819,Insider Tech,360443.4456471672
111,Bv_S5upj5dk,Smart construction helmet,https://i.ytimg.com/vi/Bv_S5upj5dk/hqdefault.jpg,36860,Insider Tech,360443.4456471672
112,n6VSBtz1su4,6 Google products and services you never even knew existed,https://i.ytimg.com/vi/n6VSBtz1su4/hqdefault.jpg,28617,Insider Tech,360443.4456471672
113,BB2g_ioctUQ,I Used Lenovo’s Smart Display For One Week — And I Couldn’t Get Enough [Sponsor Content By Lenovo],https://i.ytimg.com/vi/BB2g_ioctUQ/hqdefault.jpg,22330,Insider Tech,360443.4456471672
114,iW5WnpTlifc,Korean Billy Explains The Story Behind His Dialect Videos,https://i.ytimg.com/vi/iW5WnpTlifc/hqdefault.jpg,16508,Insider Tech,360443.4456471672
115,P1Ks8Jk_awk,NASA's autonomous underwater drone,https://i.ytimg.com/vi/P1Ks8Jk_awk/hqdefault.jpg,11806,Insider Tech,360443.4456471672
116,Zc6jpNNGyko,Could 100% recycled asphalt help NYC streets? #Recycling #Asphalt #Sustainability,https://i.ytimg.com/vi/Zc6jpNNGyko/hqdefault.jpg,7942,Insider Tech,360443.4456471672
117,mwOX-EnOESI,The American Southeast is breaking off,https://i.ytimg.com/vi/mwOX-EnOESI/hqdefault.jpg,5116,Insider Tech,360443.4456471672
118,ULlRpIF5rTs,The American Southwest may be facing a megadrought,https://i.ytimg.com/vi/ULlRpIF5rTs/hqdefault.jpg,2850,Insider Tech,360443.4456471672
119,TL-i3r2PN4w,These water resistant speakers are so durable you can drive over them with your car,https://i.ytimg.com/vi/TL-i3r2PN4w/hqdefault.jpg,173,Insider Tech,360443.4456471672
120,QmOF0crdyRU,"Controlling Your Dopamine For Motivation, Focus & Satisfaction | Huberman Lab Podcast #39",https://i.ytimg.com/vi/QmOF0crdyRU/hqdefault.jpg,7068950,Andrew Huberman,1020280.0625
121,Wcs2PFz5q6g,The Science of Making & Breaking Habits | Huberman Lab Podcast #53,https://i.ytimg.com/vi/Wcs2PFz5q6g/hqdefault.jpg,3684810,Andrew Huberman,1020280.0625
122,gXvuJu1kt48,The Effects of Cannabis (Marijuana) on the Brain & Body | Huberman Lab Podcast #92,https://i.ytimg.com/vi/gXvuJu1kt48/hqdefault.jpg,2422518,Andrew Huberman,1020280.0625
123,cS7cNaBrkxo,"Dr. Noam Sobel: How Smells Influence Our Hormones, Health & Behavior | Huberman Lab Podcast",https://i.ytimg.com/vi/cS7cNaBrkxo/hqdefault.jpg,1550788,Andrew Huberman,1020280.0625
124,GVRDGQhoEYQ,Dr. Sara Gottfried: How to Optimize Female Hormone Health for Vitality & Longevity | Huberman Lab,https://i.ytimg.com/vi/GVRDGQhoEYQ/hqdefault.jpg,1405920,Andrew Huberman,1020280.0625
125,31wjVhCcI5Y,Erasing Fears & Traumas Based on the Modern Neuroscience of Fear | Huberman Lab Podcast #49,https://i.ytimg.com/vi/31wjVhCcI5Y/hqdefault.jpg,1233116,Andrew Huberman,1020280.0625
126,-wIt_WsJGfw,"Dr. Sam Harris: Using Meditation to Focus, View Consciousness & Expand Your Mind | Huberman Lab 105",https://i.ytimg.com/vi/-wIt_WsJGfw/hqdefault.jpg,1032730,Andrew Huberman,1020280.0625
127,uXs-zPc63kM,Nicotine’s Effects on the Brain & Body & How to Quit Smoking or Vaping | Huberman Lab Podcast #90,https://i.ytimg.com/vi/uXs-zPc63kM/hqdefault.jpg,931511,Andrew Huberman,1020280.0625
128,FFwA0QFmpQ4,Understanding and Using Dreams to Learn and to Forget | Huberman Lab Podcast #5,https://i.ytimg.com/vi/FFwA0QFmpQ4/hqdefault.jpg,777388,Andrew Huberman,1020280.0625
129,GLgKkG44MGo,Dr. Jack Feldman: Breathing for Mental & Physical Health & Performance | Huberman Lab Podcast #54,https://i.ytimg.com/vi/GLgKkG44MGo/hqdefault.jpg,673589,Andrew Huberman,1020280.0625
130,aXvDEmo6uS4,"Maximizing Productivity, Physical & Mental Health with Daily Tools | Huberman Lab Podcast #28",https://i.ytimg.com/vi/aXvDEmo6uS4/hqdefault.jpg,609709,Andrew Huberman,1020280.0625
131,ncSoor2Iw8k,Dr. Kyle Gillett: How to Optimize Your Hormones for Health & Vitality | Huberman Lab Podcast #67,https://i.ytimg.com/vi/ncSoor2Iw8k/hqdefault.jpg,528827,Andrew Huberman,1020280.0625
132,RgAcOqVRfYA,"Science of Social Bonding in Family, Friendship & Romantic Love | Huberman Lab Podcast #51",https://i.ytimg.com/vi/RgAcOqVRfYA/hqdefault.jpg,466341,Andrew Huberman,1020280.0625
133,7YGZZcXqKxE,Dr. Emily Balcetis: Tools for Setting & Achieving Goals | Huberman Lab Podcast #83,https://i.ytimg.com/vi/7YGZZcXqKxE/hqdefault.jpg,410811,Andrew Huberman,1020280.0625
134,fcxjwA4C4Cw,Dr. Robin Carhart-Harris: The Science of Psychedelics for Mental Health | Huberman Lab Podcast,https://i.ytimg.com/vi/fcxjwA4C4Cw/hqdefault.jpg,340089,Andrew Huberman,1020280.0625
135,iMvtHqLmEkI,Dr. Duncan French: How to Exercise for Strength Gains & Hormone Optimization | Huberman Lab #45,https://i.ytimg.com/vi/iMvtHqLmEkI/hqdefault.jpg,291490,Andrew Huberman,1020280.0625
136,Nr5xb-QCBGA,Dr. Casey Halpern: Biology & Treatments for Compulsive Eating & Behaviors | Huberman Lab Podcast #91,https://i.ytimg.com/vi/Nr5xb-QCBGA/hqdefault.jpg,231441,Andrew Huberman,1020280.0625
137,slUCmZJDXrk,The Science of MDMA & Its Therapeutic Uses: Benefits & Risks | Huberman Lab Podcast,https://i.ytimg.com/vi/slUCmZJDXrk/hqdefault.jpg,178557,Andrew Huberman,1020280.0625
138,Rxmv7rT9leo,"Ketamine: Benefits and Risks for Depression, PTSD & Neuroplasticity | Huberman Lab Podcast",https://i.ytimg.com/vi/Rxmv7rT9leo/hqdefault.jpg,136565,Andrew Huberman,1020280.0625
139,HoH93judXmE,"AMA #9: Kratom Risks, Does Infrared Sauna Work & Journaling Benefits",https://i.ytimg.com/vi/HoH93judXmE/hqdefault.jpg,70243,Andrew Huberman,1020280.0625
140,wX75Z-4MEoM,"you need to learn Virtual Machines RIGHT NOW!! (Kali Linux VM, Ubuntu, Windows)",https://i.ytimg.com/vi/wX75Z-4MEoM/hqdefault.jpg,7520359,NetworkChuck,502843.7711171662
141,bXCeFPNWjsM,how to get remote access to your hacking targets // reverse shells with netcat (Windows and Linux!!),https://i.ytimg.com/vi/bXCeFPNWjsM/hqdefault.jpg,1979110,NetworkChuck,502843.7711171662
142,S7MNX_UD7vY,FREE CCNA // What is a Network? // Day 0,https://i.ytimg.com/vi/S7MNX_UD7vY/hqdefault.jpg,1307007,NetworkChuck,502843.7711171662
143,W2tTsjkX76o,make CRAZY money in tech (top 5 Entry-Level Certs),https://i.ytimg.com/vi/W2tTsjkX76o/hqdefault.jpg,899916,NetworkChuck,502843.7711171662
144,xBIowQ0WaR8,build your own cloud,https://i.ytimg.com/vi/xBIowQ0WaR8/hqdefault.jpg,705822,NetworkChuck,502843.7711171662
145,U7e-mcJdZok,create the ULTIMATE hacking lab in 5min!! (Docker Containers STREAMING Kali Linux to your browser),https://i.ytimg.com/vi/U7e-mcJdZok/hqdefault.jpg,520666,NetworkChuck,502843.7711171662
