,vidid,title,tmblink,views,channelName,meanVpV
19,ibKpofiVg4Y,Samsung CLP-310N Colour Network Laser Printer Unboxing & First Look Linus Tech Tips,https://i.ytimg.com/vi/ibKpofiVg4Y/hqdefault.jpg,2933,Linus Tech Tips,1159520.27004623
20,Q6vVuj3iggE,SKIN A WATERMELON party trick,https://i.ytimg.com/vi/Q6vVuj3iggE/hqdefault.jpg,135479797,Mark Rober,30645748.487603307
21,edRloa1ZHqY,1500 Water Balloons + Trampoline- SLO MO!!,https://i.ytimg.com/vi/edRloa1ZHqY/hqdefault.jpg,89943734,Mark Rober,30645748.487603307
22,vePc5V4h_kg,Shark Attack Test- Human Blood vs. Fish Blood,https://i.ytimg.com/vi/vePc5V4h_kg/hqdefault.jpg,75875422,Mark Rober,30645748.487603307
23,-k-V3ESHcfA,Feeding Bill Gates a Fake Burger (to save the world),https://i.ytimg.com/vi/-k-V3ESHcfA/hqdefault.jpg,57476048,Mark Rober,30645748.487603307
24,8HEfIJlcFbs,World Record Domino Robot (100k dominoes in 24hrs),https://i.ytimg.com/vi/8HEfIJlcFbs/hqdefault.jpg,49223189,Mark Rober,30645748.487603307
25,mWDLkNsWjgg,I Dropped Popcorn on Movie-Texters,https://i.ytimg.com/vi/mWDLkNsWjgg/hqdefault.jpg,43705945,Mark Rober,30645748.487603307
26,nsnyl8llfH4,1st place Egg Drop project ideas- using SCIENCE,https://i.ytimg.com/vi/nsnyl8llfH4/hqdefault.jpg,36437787,Mark Rober,30645748.487603307
27,-RjJtO51ykY,EASY Pinewood Derby Car WINS using Science!!!,https://i.ytimg.com/vi/-RjJtO51ykY/hqdefault.jpg,29806116,Mark Rober,30645748.487603307
28,PmlRbfSavbI,Stealing Baseball Signs with a Phone (Machine Learning),https://i.ytimg.com/vi/PmlRbfSavbI/hqdefault.jpg,26212498,Mark Rober,30645748.487603307
29,DOWDNBu9DkU,Amazing Invention- This Drone Will Change Everything,https://i.ytimg.com/vi/DOWDNBu9DkU/hqdefault.jpg,22709615,Mark Rober,30645748.487603307
30,9e9D7ABgHpU,Unbreakable Ice Cream Safe,https://i.ytimg.com/vi/9e9D7ABgHpU/hqdefault.jpg,21022148,Mark Rober,30645748.487603307
31,VS6tnF31zr4,Shark vs. GoPro,https://i.ytimg.com/vi/VS6tnF31zr4/hqdefault.jpg,16501276,Mark Rober,30645748.487603307
32,5rYhRn1x3FM,Gut Ripping iPhone Halloween Costume + 17 more hi-tech costumes,https://i.ytimg.com/vi/5rYhRn1x3FM/hqdefault.jpg,13482614,Mark Rober,30645748.487603307
33,MvnumV1izOE,Unibrow Discrimination- Social Experiment,https://i.ytimg.com/vi/MvnumV1izOE/hqdefault.jpg,9571242,Mark Rober,30645748.487603307
34,3yjcqsNNa24,FINAL SCIENCE CLASS- How to Survive a 5 Mile Fall with No Parachute,https://i.ytimg.com/vi/3yjcqsNNa24/hqdefault.jpg,6172306,Mark Rober,30645748.487603307
35,ZxbGGGh5I7M,NASA Pumpkin Carving Contest w/ LASERS!!!,https://i.ytimg.com/vi/ZxbGGGh5I7M/hqdefault.jpg,4790735,Mark Rober,30645748.487603307
36,z68vta3N5kg,Measure height with a watch! Cliff jump science,https://i.ytimg.com/vi/z68vta3N5kg/hqdefault.jpg,3417331,Mark Rober,30645748.487603307
37,pPn-Bay_ANU,SCIENCE CLASS #1- WHY Does Helium Make Your Voice Higher?,https://i.ytimg.com/vi/pPn-Bay_ANU/hqdefault.jpg,2140353,Mark Rober,30645748.487603307
38,7sj6Gpk3ab4,Whiteboard Office Darts (using BuckyBalls),https://i.ytimg.com/vi/7sj6Gpk3ab4/hqdefault.jpg,1303765,Mark Rober,30645748.487603307
39,O1P6K_PaS0A,Make a Gorilla cam- HOW TO,https://i.ytimg.com/vi/O1P6K_PaS0A/hqdefault.jpg,405791,Mark Rober,30645748.487603307
40,kxLoycj4pJY,TATTOOING Close Up (in Slow Motion) - Smarter Every Day 122,https://i.ytimg.com/vi/kxLoycj4pJY/hqdefault.jpg,86312024,SmarterEveryDay,3093197.8594594593
41,I8yJkIuvPvM,Milking the WORLD'S MOST VENOMOUS FISH! - Smarter Every Day 117,https://i.ytimg.com/vi/I8yJkIuvPvM/hqdefault.jpg,12643294,SmarterEveryDay,3093197.8594594593
42,ywBV6M7VOFU,Everything About Grain Bins (Farmers are Geniuses) - Smarter Every Day 218,https://i.ytimg.com/vi/ywBV6M7VOFU/hqdefault.jpg,7417189,SmarterEveryDay,3093197.8594594593
43,X3o71W4uNHc,"Prince Rupert's Drop EXPLODING in Epoxy Resin at 456,522 fps - Smarter Every Day 273",https://i.ytimg.com/vi/X3o71W4uNHc/hqdefault.jpg,5587919,SmarterEveryDay,3093197.8594594593
44,flmkQZvN_g8,"What happens when 2 Weedeaters Hit Each Other? (28,000 fps SLOW MOTION)  - Smarter Every Day 255",https://i.ytimg.com/vi/flmkQZvN_g8/hqdefault.jpg,4009154,SmarterEveryDay,3093197.8594594593
45,zz5lGkDdk78,Amazing Honey Coiling High Speed Video! - Smarter Every Day 53,https://i.ytimg.com/vi/zz5lGkDdk78/hqdefault.jpg,3058174,SmarterEveryDay,3093197.8594594593
46,OdW7vhYYSdM,Circular Saw Kickback Killer (We used science to make tools safer) - Smarter Every Day 209,https://i.ytimg.com/vi/OdW7vhYYSdM/hqdefault.jpg,2599361,SmarterEveryDay,3093197.8594594593
47,Lh0x54GC1sw,The Gun Detector - Smarter Every Day 225,https://i.ytimg.com/vi/Lh0x54GC1sw/hqdefault.jpg,1884702,SmarterEveryDay,3093197.8594594593
48,kRlwI2iV7x8,Touching Plasma PhD Research Opportunities at UAH - Smarter Every Day 193,https://i.ytimg.com/vi/kRlwI2iV7x8/hqdefault.jpg,1494438,SmarterEveryDay,3093197.8594594593
49,R7yzKJHSrRE,How to light a match inside a balloon - Smarter Every Day 36 LASER MONTH,https://i.ytimg.com/vi/R7yzKJHSrRE/hqdefault.jpg,1078136,SmarterEveryDay,3093197.8594594593
50,gl3bY6vME4w,"Capsized Boat in Destin, FL - Smarter Every Day 277",https://i.ytimg.com/vi/gl3bY6vME4w/hqdefault.jpg,924692,SmarterEveryDay,3093197.8594594593
51,rXrcm7DgDbA,SMARTER EVERY DAY AND SPACE!!!! - 129,https://i.ytimg.com/vi/rXrcm7DgDbA/hqdefault.jpg,670662,SmarterEveryDay,3093197.8594594593
52,-NLBtZKx2cA,Woman Struck by Meteorite | Smarter Every Day 84,https://i.ytimg.com/vi/-NLBtZKx2cA/hqdefault.jpg,534037,SmarterEveryDay,3093197.8594594593
53,Q-1DoJMehQM,12 Animals in The Amazing Amazon (with Slow Mo) - Smarter Every Day 76,https://i.ytimg.com/vi/Q-1DoJMehQM/hqdefault.jpg,384445,SmarterEveryDay,3093197.8594594593
54,ipQkk7RxApg,DONT SEND ME TO AUBURN!!!!! (Roll Tide! Alabama 2009 & 2011 National Champions!),https://i.ytimg.com/vi/ipQkk7RxApg/hqdefault.jpg,253063,SmarterEveryDay,3093197.8594594593
55,HIr1W601U7w,"WE SPENT $78,000 OF YOUR MONEY in Peru - Smarter Every Day 126",https://i.ytimg.com/vi/HIr1W601U7w/hqdefault.jpg,166121,SmarterEveryDay,3093197.8594594593
56,kNGR5OvhM1c,Space Mountain Fears - Smarter Every Day 12,https://i.ytimg.com/vi/kNGR5OvhM1c/hqdefault.jpg,100929,SmarterEveryDay,3093197.8594594593
57,Hf273uCVHvE,I built a wall - Time Lapse,https://i.ytimg.com/vi/Hf273uCVHvE/hqdefault.jpg,36477,SmarterEveryDay,3093197.8594594593
58,nMJaXNKtrIA,Baseball photography - with SCIENCE!,https://i.ytimg.com/vi/nMJaXNKtrIA/hqdefault.jpg,16157,SmarterEveryDay,3093197.8594594593
59,a3P1qIqGtRw,Crafts in Peru,https://i.ytimg.com/vi/a3P1qIqGtRw/hqdefault.jpg,4818,SmarterEveryDay,3093197.8594594593
60,AWTuvTJKtr0,I Swam in a Pool of Liquid Mecury #Shorts,https://i.ytimg.com/vi/AWTuvTJKtr0/hqdefault.jpg,29341666,What If,1233235.7967128027
61,LEo81a2w07Q,What If All the Sea Water Becomes Fresh Water?,https://i.ytimg.com/vi/LEo81a2w07Q/hqdefault.jpg,5119258,What If,1233235.7967128027
62,ZeXv1mBa5oc,What If You Fell Into the Deepest Hole on Earth?,https://i.ytimg.com/vi/ZeXv1mBa5oc/hqdefault.jpg,2844533,What If,1233235.7967128027
63,2EW3HocHLJ4,What If You Survived the End of the Solar System? #Shorts,https://i.ytimg.com/vi/2EW3HocHLJ4/hqdefault.jpg,1969878,What If,1233235.7967128027
64,-e2mBJ0O3Rw,What If We Could Build an Alderson Disk?,https://i.ytimg.com/vi/-e2mBJ0O3Rw/hqdefault.jpg,1432629,What If,1233235.7967128027
65,q2kDvrs2VEs,What If a Massive Solar Storm Hit the Earth?,https://i.ytimg.com/vi/q2kDvrs2VEs/hqdefault.jpg,1089841,What If,1233235.7967128027
66,QmcrSTinqpo,What If We Built a Road Around the World?,https://i.ytimg.com/vi/QmcrSTinqpo/hqdefault.jpg,813579,What If,1233235.7967128027
67,YsNH1CLbRK0,What If You Visited the Galaxy’s Most Dangerous Planet?,https://i.ytimg.com/vi/YsNH1CLbRK0/hqdefault.jpg,655356,What If,1233235.7967128027
68,JrVT03zUscI,What If a Black Hole Deleted the Universe?,https://i.ytimg.com/vi/JrVT03zUscI/hqdefault.jpg,516748,What If,1233235.7967128027
69,eKZIJK_rS7U,Avatar’s Pandora in Real Life is Terrifying,https://i.ytimg.com/vi/eKZIJK_rS7U/hqdefault.jpg,441831,What If,1233235.7967128027
70,F6jR4mQtarE,What If the Earth’s Crust Suddenly Opened Up?,https://i.ytimg.com/vi/F6jR4mQtarE/hqdefault.jpg,366944,What If,1233235.7967128027
71,pgzdrAROqV8,What If You Owned a Time Machine?,https://i.ytimg.com/vi/pgzdrAROqV8/hqdefault.jpg,309884,What If,1233235.7967128027
72,dasw-xE9WCU,What If Our Oceans Froze?,https://i.ytimg.com/vi/dasw-xE9WCU/hqdefault.jpg,263725,What If,1233235.7967128027
73,Bq_Ljlwy5C0,What If Civilization Collapses?,https://i.ytimg.com/vi/Bq_Ljlwy5C0/hqdefault.jpg,226184,What If,1233235.7967128027
74,IE44PzFW6bU,What If the World Lost Oxygen for an Hour?,https://i.ytimg.com/vi/IE44PzFW6bU/hqdefault.jpg,182969,What If,1233235.7967128027
75,lgxaEbowblo,What If the Oceans Caught Fire?,https://i.ytimg.com/vi/lgxaEbowblo/hqdefault.jpg,150368,What If,1233235.7967128027
76,imBdWaSDeec,What If We Created the Next Human Species?,https://i.ytimg.com/vi/imBdWaSDeec/hqdefault.jpg,111124,What If,1233235.7967128027
77,QIEhOdgKm1I,What If You Were Sucked Into a Fire Tornado?,https://i.ytimg.com/vi/QIEhOdgKm1I/hqdefault.jpg,80706,What If,1233235.7967128027
78,-HjtgJDVOck,Scientists Discovered the Best Way to Travel the Universe,https://i.ytimg.com/vi/-HjtgJDVOck/hqdefault.jpg,55184,What If,1233235.7967128027
79,QAZH0oaqgSg,What If the U.S Were Under Lockdown?,https://i.ytimg.com/vi/QAZH0oaqgSg/hqdefault.jpg,5846,What If,1233235.7967128027
80,3MqYE2UuN24,Is it Better to Walk or Run in the Rain?,https://i.ytimg.com/vi/3MqYE2UuN24/hqdefault.jpg,19626353,minutephysics,1968825.3703703703
81,B19nlhbA7-E,The Portal Paradox,https://i.ytimg.com/vi/B19nlhbA7-E/hqdefault.jpg,5589403,minutephysics,1968825.3703703703
82,1Hqm0dYKUx4,Why It's Impossible to Tune a Piano,https://i.ytimg.com/vi/1Hqm0dYKUx4/hqdefault.jpg,3946091,minutephysics,1968825.3703703703
83,lvTqbM5Dq4Q,How Quantum Computers Break Encryption | Shor's Algorithm Explained,https://i.ytimg.com/vi/lvTqbM5Dq4Q/hqdefault.jpg,3008988,minutephysics,1968825.3703703703
84,o_W280R_Jt8,TOP 10 REASONS Why We Know the Earth is Round,https://i.ytimg.com/vi/o_W280R_Jt8/hqdefault.jpg,2558135,minutephysics,1968825.3703703703
85,kIq5CZlg8Rg,Adding Past Infinity (WARNING: Math Ahead),https://i.ytimg.com/vi/kIq5CZlg8Rg/hqdefault.jpg,2314791,minutephysics,1968825.3703703703
86,4B_x1XjBhiI,Another Physics Misconception,https://i.ytimg.com/vi/4B_x1XjBhiI/hqdefault.jpg,2016685,minutephysics,1968825.3703703703
87,nrTsvn9usVQ,What Is The Universe?,https://i.ytimg.com/vi/nrTsvn9usVQ/hqdefault.jpg,1753610,minutephysics,1968825.3703703703
88,1rLWVZVWfdY,Why is Relativity Hard? | Special Relativity Chapter 1,https://i.ytimg.com/vi/1rLWVZVWfdY/hqdefault.jpg,1513510,minutephysics,1968825.3703703703
89,v9ML4GA47Rg,The Physics of Car Crashes,https://i.ytimg.com/vi/v9ML4GA47Rg/hqdefault.jpg,1388560,minutephysics,1968825.3703703703
90,KNwKPfOKipk,Parallel Universes: Many Worlds,https://i.ytimg.com/vi/KNwKPfOKipk/hqdefault.jpg,1269776,minutephysics,1968825.3703703703
91,_mZQ-5-KYHw,Picture of the Big Bang (a.k.a. Oldest Light in the Universe),https://i.ytimg.com/vi/_mZQ-5-KYHw/hqdefault.jpg,1164983,minutephysics,1968825.3703703703
92,nZMMuv0Ltyo,Why December Has The Longest Days,https://i.ytimg.com/vi/nZMMuv0Ltyo/hqdefault.jpg,1002239,minutephysics,1968825.3703703703
93,-NN_m2yKAAk,Length Contraction and Time Dilation | Special Relativity Ch. 5,https://i.ytimg.com/vi/-NN_m2yKAAk/hqdefault.jpg,840834,minutephysics,1968825.3703703703
94,VSrEIdhrXB4,How to Build a Teleporter with Aliens,https://i.ytimg.com/vi/VSrEIdhrXB4/hqdefault.jpg,720079,minutephysics,1968825.3703703703
95,IZ_8b_Ydsv0,Why LESS Sensitive Tests Might Be Better,https://i.ytimg.com/vi/IZ_8b_Ydsv0/hqdefault.jpg,626460,minutephysics,1968825.3703703703
96,NSxa5cVT3Ok,"How Many Stars There Are in the Sky, explained in ten seconds",https://i.ytimg.com/vi/NSxa5cVT3Ok/hqdefault.jpg,570400,minutephysics,1968825.3703703703
97,6ERXfZTFbFQ,Is Anything on the Internet Real?,https://i.ytimg.com/vi/6ERXfZTFbFQ/hqdefault.jpg,471495,minutephysics,1968825.3703703703
98,plUboQZgkng,Footnote †: Unstable Equilibrium,https://i.ytimg.com/vi/plUboQZgkng/hqdefault.jpg,337491,minutephysics,1968825.3703703703
99,eCD6ahMihoc,(A book with the answer),https://i.ytimg.com/vi/eCD6ahMihoc/hqdefault.jpg,148684,minutephysics,1968825.3703703703
100,gWAXOD29YDU,How This Device Safely Removes Blood Clots | Tech Insider,https://i.ytimg.com/vi/gWAXOD29YDU/hqdefault.jpg,81335755,Insider Tech,360443.4456471672
101,oPmZGBvJswg,Here's why we have that little groove below our nose,https://i.ytimg.com/vi/oPmZGBvJswg/hqdefault.jpg,1317155,Insider Tech,360443.4456471672
102,hCJ9sJHunVA,New Chinese Gladiator Robot To Challenge The US' 'Megabot',https://i.ytimg.com/vi/hCJ9sJHunVA/hqdefault.jpg,577517,Insider Tech,360443.4456471672
103,w3s1awGu1-M,Watch Elon Musk Unveil The Tesla Model Y SUV,https://i.ytimg.com/vi/w3s1awGu1-M/hqdefault.jpg,332589,Insider Tech,360443.4456471672
104,eJCHTRSbUPg,Advanced aliens could be nothing we would expect,https://i.ytimg.com/vi/eJCHTRSbUPg/hqdefault.jpg,229720,Insider Tech,360443.4456471672
105,vejvxOLlOIA,Stop Doing Crunches And Sit-Ups — Do Planks And Leg Raises Instead,https://i.ytimg.com/vi/vejvxOLlOIA/hqdefault.jpg,167685,Insider Tech,360443.4456471672
106,SrLLWMugyB0,Skydivers Have An Amazing New Use For Drones,https://i.ytimg.com/vi/SrLLWMugyB0/hqdefault.jpg,129964,Insider Tech,360443.4456471672
107,bydVJAKWYII,5 Scientifically-Proven Things That Can Make You Less Attractive,https://i.ytimg.com/vi/bydVJAKWYII/hqdefault.jpg,94797,Insider Tech,360443.4456471672
108,uKa-xQe2Gjg,A Plane Struck By Lightning Is More Common Than You Might Think,https://i.ytimg.com/vi/uKa-xQe2Gjg/hqdefault.jpg,75113,Insider Tech,360443.4456471672
109,Zdotob5ixuM,Exercise Physiologist Reveals The Mistake Many Runners Make,https://i.ytimg.com/vi/Zdotob5ixuM/hqdefault.jpg,58904,Insider Tech,360443.4456471672
110,6HGTNIYDmzk,"15-Minute Sleep Ritual For Better Night's Rest, According To A Sleep Scientist",https://i.ytimg.com/vi/6HGTNIYDmzk/hqdefault.jpg,46859,Insider Tech,360443.4456471672
111,rH7HaLMCVck,Why Does My iPhone Keep Disconnecting From Wi-Fi?,https://i.ytimg.com/vi/rH7HaLMCVck/hqdefault.jpg,36960,Insider Tech,360443.4456471672
112,n6VSBtz1su4,6 Google products and services you never even knew existed,https://i.ytimg.com/vi/n6VSBtz1su4/hqdefault.jpg,28617,Insider Tech,360443.4456471672
113,NQd0_mrZbzY,What It's Like To Try Gwyneth Paltrow's Diet And Workout Routine,https://i.ytimg.com/vi/NQd0_mrZbzY/hqdefault.jpg,22341,Insider Tech,360443.4456471672
114,iW5WnpTlifc,Korean Billy Explains The Story Behind His Dialect Videos,https://i.ytimg.com/vi/iW5WnpTlifc/hqdefault.jpg,16508,Insider Tech,360443.4456471672
115,P1Ks8Jk_awk,NASA's autonomous underwater drone,https://i.ytimg.com/vi/P1Ks8Jk_awk/hqdefault.jpg,11815,Insider Tech,360443.4456471672
116,1xMdY3d2bYs,"SpaceX Mars Project For 2018, Explained",https://i.ytimg.com/vi/1xMdY3d2bYs/hqdefault.jpg,7978,Insider Tech,360443.4456471672
117,mwOX-EnOESI,The American Southeast is breaking off,https://i.ytimg.com/vi/mwOX-EnOESI/hqdefault.jpg,5116,Insider Tech,360443.4456471672
118,ULlRpIF5rTs,The American Southwest may be facing a megadrought,https://i.ytimg.com/vi/ULlRpIF5rTs/hqdefault.jpg,2850,Insider Tech,360443.4456471672
119,TL-i3r2PN4w,These water resistant speakers are so durable you can drive over them with your car,https://i.ytimg.com/vi/TL-i3r2PN4w/hqdefault.jpg,173,Insider Tech,360443.4456471672
120,QmOF0crdyRU,"Controlling Your Dopamine For Motivation, Focus & Satisfaction | Huberman Lab Podcast #39",https://i.ytimg.com/vi/QmOF0crdyRU/hqdefault.jpg,7115500,Andrew Huberman,1020280.0625
121,Wcs2PFz5q6g,The Science of Making & Breaking Habits | Huberman Lab Podcast #53,https://i.ytimg.com/vi/Wcs2PFz5q6g/hqdefault.jpg,3696137,Andrew Huberman,1020280.0625
122,gXvuJu1kt48,The Effects of Cannabis (Marijuana) on the Brain & Body | Huberman Lab Podcast #92,https://i.ytimg.com/vi/gXvuJu1kt48/hqdefault.jpg,2437983,Andrew Huberman,1020280.0625
123,p3JLaF_4Tz8,Dr. Anna Lembke: Understanding & Treating Addiction | Huberman Lab Podcast #33,https://i.ytimg.com/vi/p3JLaF_4Tz8/hqdefault.jpg,1590202,Andrew Huberman,1020280.0625
124,GVRDGQhoEYQ,Dr. Sara Gottfried: How to Optimize Female Hormone Health for Vitality & Longevity | Huberman Lab,https://i.ytimg.com/vi/GVRDGQhoEYQ/hqdefault.jpg,1419170,Andrew Huberman,1020280.0625
125,31wjVhCcI5Y,Erasing Fears & Traumas Based on the Modern Neuroscience of Fear | Huberman Lab Podcast #49,https://i.ytimg.com/vi/31wjVhCcI5Y/hqdefault.jpg,1238247,Andrew Huberman,1020280.0625
126,-wIt_WsJGfw,"Dr. Sam Harris: Using Meditation to Focus, View Consciousness & Expand Your Mind | Huberman Lab 105",https://i.ytimg.com/vi/-wIt_WsJGfw/hqdefault.jpg,1038643,Andrew Huberman,1020280.0625
127,6I5I56uVvLw,"Dr Lex Fridman: Navigating Conflict, Finding Purpose & Maintaining Drive | Huberman Lab Podcast #100",https://i.ytimg.com/vi/6I5I56uVvLw/hqdefault.jpg,941662,Andrew Huberman,1020280.0625
128,FFwA0QFmpQ4,Understanding and Using Dreams to Learn and to Forget | Huberman Lab Podcast #5,https://i.ytimg.com/vi/FFwA0QFmpQ4/hqdefault.jpg,778606,Andrew Huberman,1020280.0625
129,GLgKkG44MGo,Dr. Jack Feldman: Breathing for Mental & Physical Health & Performance | Huberman Lab Podcast #54,https://i.ytimg.com/vi/GLgKkG44MGo/hqdefault.jpg,674420,Andrew Huberman,1020280.0625
130,aXvDEmo6uS4,"Maximizing Productivity, Physical & Mental Health with Daily Tools | Huberman Lab Podcast #28",https://i.ytimg.com/vi/aXvDEmo6uS4/hqdefault.jpg,610943,Andrew Huberman,1020280.0625
131,RI112zW8GDw,Dr. Robert Malenka: How Your Brain’s Reward Circuits Drive Your Choices | Huberman Lab Podcast,https://i.ytimg.com/vi/RI112zW8GDw/hqdefault.jpg,549318,Andrew Huberman,1020280.0625
132,0RYyQRQFgFk,Science-Based Mental Training & Visualization for Improved Learning | Huberman Lab Podcast,https://i.ytimg.com/vi/0RYyQRQFgFk/hqdefault.jpg,468270,Andrew Huberman,1020280.0625
133,7YGZZcXqKxE,Dr. Emily Balcetis: Tools for Setting & Achieving Goals | Huberman Lab Podcast #83,https://i.ytimg.com/vi/7YGZZcXqKxE/hqdefault.jpg,411863,Andrew Huberman,1020280.0625
134,fcxjwA4C4Cw,Dr. Robin Carhart-Harris: The Science of Psychedelics for Mental Health | Huberman Lab Podcast,https://i.ytimg.com/vi/fcxjwA4C4Cw/hqdefault.jpg,345516,Andrew Huberman,1020280.0625
135,iMvtHqLmEkI,Dr. Duncan French: How to Exercise for Strength Gains & Hormone Optimization | Huberman Lab #45,https://i.ytimg.com/vi/iMvtHqLmEkI/hqdefault.jpg,291975,Andrew Huberman,1020280.0625
136,Nr5xb-QCBGA,Dr. Casey Halpern: Biology & Treatments for Compulsive Eating & Behaviors | Huberman Lab Podcast #91,https://i.ytimg.com/vi/Nr5xb-QCBGA/hqdefault.jpg,232067,Andrew Huberman,1020280.0625
137,slUCmZJDXrk,The Science of MDMA & Its Therapeutic Uses: Benefits & Risks | Huberman Lab Podcast,https://i.ytimg.com/vi/slUCmZJDXrk/hqdefault.jpg,181611,Andrew Huberman,1020280.0625
138,Rxmv7rT9leo,"Ketamine: Benefits and Risks for Depression, PTSD & Neuroplasticity | Huberman Lab Podcast",https://i.ytimg.com/vi/Rxmv7rT9leo/hqdefault.jpg,145221,Andrew Huberman,1020280.0625
139,HoH93judXmE,"AMA #9: Kratom Risks, Does Infrared Sauna Work & Journaling Benefits",https://i.ytimg.com/vi/HoH93judXmE/hqdefault.jpg,72207,Andrew Huberman,1020280.0625
140,wX75Z-4MEoM,"you need to learn Virtual Machines RIGHT NOW!! (Kali Linux VM, Ubuntu, Windows)",https://i.ytimg.com/vi/wX75Z-4MEoM/hqdefault.jpg,7541534,NetworkChuck,502843.7711171662
141,bXCeFPNWjsM,how to get remote access to your hacking targets // reverse shells with netcat (Windows and Linux!!),https://i.ytimg.com/vi/bXCeFPNWjsM/hqdefault.jpg,1983417,NetworkChuck,502843.7711171662
142,gwUz3E9AW0w,you need a website RIGHT NOW!! (create a website for FREE),https://i.ytimg.com/vi/gwUz3E9AW0w/hqdefault.jpg,1311895,NetworkChuck,502843.7711171662
143,W2tTsjkX76o,make CRAZY money in tech (top 5 Entry-Level Certs),https://i.ytimg.com/vi/W2tTsjkX76o/hqdefault.jpg,901689,NetworkChuck,502843.7711171662
144,YJwhQowT84A,you need to learn Google Cloud RIGHT NOW!!,https://i.ytimg.com/vi/YJwhQowT84A/hqdefault.jpg,714178,NetworkChuck,502843.7711171662
145,0W4JZIWtjLQ,you NEED to learn Port Security…….RIGHT NOW!! // FREE CCNA // EP 14,https://i.ytimg.com/vi/0W4JZIWtjLQ/hqdefault.jpg,530080,NetworkChuck,502843.7711171662
